Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_168-1	2020/02/10 16:08:24	CTD	CTD	in the water			W2, clean ship	started	14° 10.906' N	057° 14.726' W	5171	0	174.7	65.0	11.2	02	0
M161_168-1	2020/02/10 16:27:05	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.920' N	057° 14.726' W	5171	1	115.6	65.0	11.4	02	800
M161_168-1	2020/02/10 16:47:54	CTD	CTD	on deck				started	14° 10.921' N	057° 14.726' W	5171	1	258.0	59.0	11.1	02	0
M161_169-1	2020/02/10 18:29:51	CTD	CTD	in the water			W2, clean ship	started	14° 10.921' N	057° 14.725' W	5172	1	254.5	62.0	10.5	02	0
M161_169-1	2020/02/10 18:49:18	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.922' N	057° 14.725' W	5173	1	134.5	50.0	11.7	02	800
M161_169-1	2020/02/10 19:09:56	CTD	CTD	on deck				started	14° 10.924' N	057° 14.725' W	5173	1	168.5	78.0	9.9	02	0
M161_170-1	2020/02/10 20:33:14	CTD	CTD	in the water			W2, clean ship	started	14° 10.923' N	057° 14.725' W	5172	1	83.3	66.0	10.6	02	0
M161_170-1	2020/02/10 20:51:10	CTD	CTD	max depth/on ground			SL max = 800m	started	14° 10.922' N	057° 14.724' W	5172	1	60.1	56.0	11.3	02	800
M161_170-1	2020/02/10 21:08:22	CTD	CTD	on deck				started	14° 10.923' N	057° 14.727' W	5171	0	227.1	64.0	9.7	02	0
M161_171-1	2020/02/10 22:27:57	CTD	CTD	in the water			W2, clean ship	started	14° 10.922' N	057° 14.725' W	5171	1	135.1	73.0	10.8	02	0
M161_171-1	2020/02/10 22:45:39	CTD	CTD	max depth/on ground			SL max = 800m	started	14° 10.924' N	057° 14.726' W	5177	0	70.7	76.0	11.5	02	800
M161_171-1	2020/02/10 23:02:56	CTD	CTD	on deck				started	14° 10.922' N	057° 14.725' W	5171	0	79.8	64.0	11.4	02	0
M161_172-1	2020/02/11 00:32:50	CTD	CTD	in the water			W2, clean ship	started	14° 10.922' N	057° 14.726' W	5171	1	122.7	63.0	12.7	02	0
M161_172-1	2020/02/11 00:48:49	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.922' N	057° 14.725' W	5172	0	63.5	64.0	11.8	02	800
M161_172-1	2020/02/11 01:06:36	CTD	CTD	on deck				started	14° 10.922' N	057° 14.725' W	5170	1	51.3	67.0	12.3	02	0
M161_173-1	2020/02/11 02:33:19	CTD	CTD	in the water			W2, clean ship	started	14° 10.922' N	057° 14.725' W	5172	1	113.6	67.0	13.3	02	0
M161_173-1	2020/02/11 02:49:25	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.921' N	057° 14.725' W	5170	1	273.7	70.0	13.1	02	800
M161_173-1	2020/02/11 03:07:15	CTD	CTD	on deck				started	14° 10.923' N	057° 14.725' W	5171	1	98.7	61.0	13.6	02	0
